ZTF19aczlldp 0.027500 II
58913.1552315 2 17.9067 0.0866046
58905.1237616 2 17.9806 0.0708541
58900.1522685 2 17.902 0.0714839
58894.1284954 2 17.9881 0.050342
58891.1077546 2 17.9451 0.0581433
58887.1072222 2 18.0073 0.0528904
58884.1272685 2 17.8385 0.081463
58877.1398264 2 17.8736 0.0490194
58867.1057523 2 17.719 0.0627376
58861.1768634 2 17.6397 0.04474
58860.1810417 2 17.6269 0.050055
58859.2237847 2 17.6279 0.0495461
58859.1711574 2 17.6608 0.0461402
58856.1496644 2 17.6177 0.0531601
58850.1276852 2 17.5603 0.0773779
58846.1286227 2 17.5251 0.0556679
58836.0927778 2 18.6035 0.0810199
