ZTF18abskoyh 0.025000 II
58812.125 1 19.2895 0.168768
58805.0873032 1 19.3 0.290074
58797.1293866 1 19.2636 0.184058
58789.1844444 1 19.4266 0.141927
58781.1253356 1 19.2979 0.194617
58777.1207639 1 19.3194 0.134939
58766.1911574 1 19.2166 0.216329
58757.1885764 1 19.3011 0.1082
58754.2540972 1 19.2085 0.111149
58750.2069213 1 19.4405 0.228583
58747.3011921 1 19.4555 0.150584
58743.2075231 1 19.2177 0.184919
58732.3023727 1 19.3223 0.128051
58725.3164931 1 19.3249 0.125102
58721.2434028 1 19.2273 0.156249
58714.2437847 1 19.3519 0.166038
58711.2543287 1 19.3283 0.269955
58707.3999653 1 19.2731 0.158464
58704.3714005 1 19.3227 0.128142
58700.329537 1 19.3385 0.104354
58694.3324769 1 19.3449 0.111683
58691.3310532 1 19.3131 0.100652
58688.3201042 1 19.2863 0.112231
58680.4435301 1 19.4309 0.288781
58677.3358449 1 19.4126 0.157682
58674.4229745 1 19.4064 0.117332
58668.3000231 1 19.3087 0.120854
58665.4825694 1 19.2491 0.169624
58662.4253009 1 19.2982 0.126084
58649.3814699 1 19.1111 0.178267
58646.4384606 1 19.3042 0.119663
58643.4394329 1 19.3224 0.129164
58640.4439931 1 19.3259 0.10717
58637.4603819 1 19.3515 0.14296
58634.459919 1 19.2816 0.119792
58607.4683102 1 19.3144 0.110566
58387.2396991 1 18.5852 0.125225
58378.2962616 1 18.1394 0.0637328
