ZTF19acbmxky 0.048000 II
58796.5467708 1 19.8224 0.188091
58791.5248611 1 19.7536 0.136122
58785.4625116 1 19.4475 0.162106
58779.5038079 1 19.344 0.141692
58768.45625 1 18.5306 0.111088
58767.4514236 1 18.4423 0.121471
58766.4662963 1 18.4993 0.0825906
58763.4737153 1 18.3872 0.0737885
58759.4719907 1 18.3206 0.0691391
58758.5106597 1 18.323 0.0674043
58756.4699421 1 18.3277 0.0726753
