ZTF19aaklqod 0.030000 Ia
58912.2502083 1 17.289 0.0556673
58912.2460995 1 17.2905 0.0491848
58909.2311458 1 17.0242 0.064232
58909.2178472 1 17.0527 0.0873625
58906.2734028 1 16.8789 0.040731
58903.3024421 1 16.8355 0.0631035
58903.287581 1 16.8648 0.0411589
58903.2562963 1 16.8529 0.0415315
58903.2540046 1 16.8651 0.046961
58899.2143981 1 17.0965 0.038614
58898.2560764 1 17.208 0.052272
58898.2477083 1 17.2614 0.036188
58898.2459028 1 17.2059 0.046909
58896.2244329 1 17.6433 0.0595374
58894.2970139 1 18.1726 0.0742166
58893.2126157 1 18.7401 0.102792
