ZTF19acbhvgi 0.025000 II
58903.1896181 2 20.6528 0.209508
58880.2107986 2 20.3492 0.251771
58875.2499306 2 20.6651 0.25475
58873.2167824 2 20.4682 0.258478
58871.2727662 2 20.2535 0.212701
58862.3471759 2 19.9922 0.255472
58860.3195949 2 19.4455 0.261266
58860.3168866 2 19.4769 0.2988
58850.447037 2 19.1422 0.172825
58846.404375 2 18.9223 0.0809245
58835.4219213 2 18.8873 0.164065
58833.3732639 2 18.6718 0.1353
58828.3030903 2 18.7434 0.130067
58827.3052546 2 18.6153 0.106876
58806.4826968 2 18.6031 0.106628
58799.4627894 2 18.7405 0.130658
58796.5330671 2 18.5619 0.0828198
58793.505 2 18.595 0.0903051
58790.519294 2 18.55 0.0682025
58790.4854282 2 18.5828 0.0868422
58787.5253704 2 18.4391 0.0836028
58784.5241435 2 18.4956 0.171683
58781.5047801 2 18.5036 0.12283
58778.4855324 2 18.5525 0.113568
58773.5143981 2 18.2988 0.129262
58769.4778125 2 18.3927 0.0878816
58766.5284028 2 18.3711 0.0684692
58761.4776157 2 18.4227 0.0820445
58756.5178125 2 18.53 0.0855653
