ZTF19acpgaet 0.066000 Ia
58833.2258681 2 19.6084 0.212464
58814.2123843 2 19.1979 0.140088
58812.233588 2 18.9423 0.0954987
58811.2960069 2 18.6898 0.086019
58805.3450579 2 18.5611 0.0872247
58804.3492245 2 18.498 0.102109
58798.3267361 2 18.5369 0.155562
58793.3658912 2 19.4584 0.162799
58790.3731597 2 20.3452 0.29494
