ZTF20aaerxsd 0.055000 Ia
58914.5127662 2 19.7617 0.159521
58913.4983681 2 19.5936 0.194373
58912.4968981 2 19.5994 0.152155
58911.4850116 2 19.4873 0.175871
58908.4639931 2 19.543 0.118267
58906.4617014 2 19.2092 0.124509
58904.4895139 2 19.2016 0.10838
58903.4541898 2 19.1445 0.104489
58901.4528009 2 18.9511 0.111487
58900.4773843 2 19.0447 0.107642
58899.4869907 2 18.9207 0.087297
58898.492338 2 18.8676 0.0718
58893.5164815 2 18.6189 0.0938843
58890.4724537 2 18.5302 0.153361
58887.5287153 2 18.5406 0.0850027
58884.5529282 2 18.4182 0.0858044
58881.560544 2 18.2233 0.0659049
58878.5490741 2 18.0496 0.0834163
58875.5303819 2 17.9315 0.058428
58872.5526273 2 17.8815 0.0631438
58859.4956019 2 19.051 0.128011
58856.5721412 2 19.9675 0.216489
