ZTF19aanbojt 0.048000 Ia
58852.4930208 1 19.1107 0.138878
58852.4930208 1 19.8921 0.156387
58849.4900231 1 19.9219 0.137906
58608.1854167 1 20.0163 0.143986
58605.2187153 1 19.8187 0.138558
58600.2043981 1 19.708 0.149488
58600.2011921 1 19.5115 0.153104
58597.2592824 1 19.5442 0.13136
58594.214838 1 19.1867 0.210473
58594.1834838 1 19.3294 0.143722
58591.1976968 1 18.9266 0.12543
58591.1737731 1 18.8144 0.156398
58587.2160648 1 18.3919 0.0841301
58587.2142477 1 18.6487 0.102348
58584.2407407 1 18.1259 0.0674809
58584.2205208 1 18.1921 0.066535
58581.2170255 1 17.9174 0.0587357
58580.1965625 1 17.8009 0.0538994
58575.2700347 1 17.4862 0.0469677
58575.2651736 1 17.5175 0.0407463
58572.2030787 1 17.5181 0.0557677
58572.2012384 1 17.453 0.0462608
58567.2015278 1 17.6769 0.0783906
