ZTF20aaurhzc 0.033350 Ia
58984.3987847 2 18.8212 0.0725271
58979.3368866 2 18.2757 0.0970415
58976.3394329 2 18.0411 0.0946809
58973.3367593 2 18.0835 0.0720374
58970.413831 2 17.8883 0.0484285
58967.4146296 2 17.6773 0.0496146
58964.4232176 2 17.5351 0.0501224
58961.4556713 2 17.5925 0.0538727
58956.482662 2 18.0082 0.0797223
58953.4560301 2 18.8424 0.111964
