ZTF20aaomtwl 0.020000 Ia
58973.2005671 1 18.7374 0.138011
58970.2148843 1 18.7605 0.12748
58963.1826968 1 18.6008 0.0543687
58963.1631713 1 18.5944 0.0647575
58944.1941088 1 17.6855 0.064694
58917.2282523 1 15.881 0.0389754
58915.1721528 1 15.8557 0.0290726
58912.1650463 1 15.8747 0.0254715
58909.1891088 1 16.0692 0.0330843
58906.2626505 1 16.3789 0.034831
58906.1449884 1 16.408 0.026949
58904.1587037 1 16.775 0.045453
58903.2429282 1 16.9957 0.0408505
58899.224294 1 18.5879 0.05783
58898.2360532 1 19.1817 0.090214
