ZTF18aabssth 0.023000 II
58980.1711806 1 20.5007 0.260225
58968.2468287 1 20.4142 0.29202
58968.2325 1 20.5613 0.351187
58967.2420255 1 20.375 0.23318
58965.2115856 1 20.7326 0.36712
58964.2023032 1 20.4277 0.248784
58954.2762269 1 20.5184 0.283714
58941.249456 1 20.1237 0.255183
58939.315706 1 20.1291 0.309946
58915.2112731 1 19.9095 0.308403
58906.3106597 1 20.5235 0.389216
58904.3119213 1 20.5506 0.340923
58903.2960995 1 20.624 0.36573
58900.3310069 1 20.5457 0.272684
58899.3808218 1 20.4339 0.274708
58898.3787037 1 20.4407 0.250899
58886.4208912 1 19.9133 0.379017
58871.4371875 1 20.6435 0.303272
58852.502338 1 20.5002 0.274284
58849.5003472 1 20.4884 0.325563
58836.5486574 1 20.4053 0.393203
58792.5373611 1 20.3372 0.304377
58789.5073148 1 20.2935 0.284105
58640.1719907 1 19.987 0.261907
58637.2231829 1 20.3261 0.293781
58612.1737269 1 20.5472 0.301111
58608.207963 1 20.3223 0.235325
58605.2343287 1 20.2414 0.223479
58601.2286227 1 20.5327 0.270963
58597.2536458 1 20.5043 0.210654
58580.2321991 1 20.5088 0.30696
58575.2741435 1 20.3822 0.230963
58572.2548495 1 20.4642 0.335604
58567.2535648 1 20.5281 0.264838
58546.2734491 1 20.4361 0.267134
58493.5531481 1 20.4423 0.194214
