ZTF19aanircs 0.060000 Ia
58635.429375 1 20.7992 0.236499
58632.352419 1 20.5661 0.191807
58608.3259375 1 19.4603 0.114163
58596.4527315 1 18.4483 0.0760863
58592.4917477 1 18.2045 0.0745472
58589.4047106 1 17.9076 0.084907
58586.4306829 1 17.8863 0.0417538
58583.4119213 1 17.8176 0.0558843
58580.4279051 1 17.8345 0.051846
58575.4913426 1 18.0135 0.16287
58572.494456 1 18.4631 0.0719546
58567.5166551 1 19.7632 0.189472
