ZTF18abtgkdo 0.087000 Ia
58877.1388889 2 19.7945 0.18534
58871.0994213 2 19.922 0.162903
58861.1542014 2 19.867 0.170696
58852.1667477 2 19.9157 0.1867
58849.1680787 2 19.8853 0.151522
58830.2500463 2 19.7599 0.20296
58812.2025116 2 19.7858 0.202813
58806.2453241 2 19.7904 0.153283
58794.3181713 2 19.876 0.214327
58791.3385995 2 20.092 0.220163
58733.4069792 2 19.7496 0.168787
58730.4235995 2 19.8512 0.145214
58707.4838657 2 19.7847 0.184551
58670.4748495 2 19.7488 0.196329
58523.1668634 2 19.9047 0.170076
58486.1204861 2 19.8863 0.198399
58385.3231134 2 19.2573 0.127341
58382.485787 2 19.2152 0.0764321
58378.4317708 2 19.1281 0.0799458
58375.4105208 2 19.2195 0.112323
