ZTF18achtnvk 0.040000 II
58540.1839468 1 20.3701 0.184232
58468.4248032 1 19.8716 0.127975
58468.4140394 1 19.9421 0.155548
58465.2449074 1 19.7309 0.161356
58464.3268634 1 19.8221 0.130476
58450.452581 1 19.1451 0.104765
58450.4521065 1 19.2192 0.125339
58443.505162 1 19.0342 0.0959329
58443.4960995 1 19.0677 0.109702
58440.4281366 1 19.0445 0.103824
58440.4154167 1 18.939 0.160421
58438.3806713 1 18.9418 0.204487
58437.4432407 1 19.0683 0.118487
58434.4036806 1 19.3622 0.118915
