ZTF20aauooag 0.075000 Ia
58985.488669 2 18.9146 0.122492
58983.394456 2 18.7761 0.0588523
58976.3727431 2 18.3895 0.079174
58973.3692824 2 18.3614 0.0760313
58970.4349537 2 18.4237 0.0538348
58967.4118634 2 18.2591 0.0645747
58964.4415625 2 18.0069 0.0508127
58961.4533681 2 17.848 0.0477133
58956.5089815 2 17.7083 0.0310681
58956.4999769 2 17.7115 0.0271698
58953.454213 2 17.7076 0.052214
58943.4865741 2 18.8313 0.103493
