ZTF20aaxndzx 0.088000 Ia
58987.4358333 1 19.0316 0.0782563
58987.434838 1 19.1376 0.0878192
58986.404919 1 19.0225 0.0866526
58986.4025579 1 18.9777 0.0825553
58985.4503588 1 18.9457 0.0907286
58985.4366782 1 18.9608 0.0905206
58981.3237037 1 18.8582 0.145002
58981.3025926 1 18.9057 0.116697
58980.4240741 1 18.9188 0.120828
58980.423588 1 18.8799 0.1273
58979.4464583 1 18.768 0.109376
58979.4351042 1 18.9149 0.119491
58978.4350116 1 19.1079 0.208811
58978.4287847 1 18.8873 0.12985
58977.3897569 1 19.0943 0.194822
58977.3892708 1 18.8607 0.177554
58976.488912 1 18.9187 0.164509
58975.3021644 1 19.2137 0.252965
58975.3002546 1 19.113 0.217631
58974.494537 1 19.1851 0.145691
58974.4775116 1 19.1811 0.144421
58973.498044 1 19.2105 0.16343
58973.4742014 1 19.3219 0.124094
58972.4720255 1 19.4456 0.13109
58972.4705787 1 19.5545 0.118856
58971.4521065 1 19.7948 0.1411
58971.4506944 1 19.7446 0.139597
58970.4684954 1 19.9088 0.147954
58970.4587037 1 20.0105 0.165754
58968.4667477 1 20.4493 0.210564
58968.4653356 1 20.8218 0.30345
58967.4496759 1 21.073 0.328972
58967.4491782 1 21.0082 0.3988
58966.4473495 1 21.0911 0.37592
