ZTF18abxyudf 0.110000 Ia
58456.1310995 2 19.9054 0.215228
58432.1299074 2 19.3112 0.128416
58432.1079861 2 19.4357 0.139908
58429.1291782 2 19.1944 0.117004
58426.1458218 2 19.0871 0.179697
58426.1449074 2 19.0606 0.162727
58423.1420949 2 18.9611 0.142876
58423.1058102 2 19.0697 0.158062
58400.2277083 2 18.2973 0.0561203
58400.2071644 2 18.3809 0.0851488
58389.2606597 2 18.726 0.10087
58386.251875 2 19.2085 0.191252
58385.2324306 2 19.1626 0.145404
