ZTF19abpzuzd 0.061000 Ia
58783.1596181 1 21.006 0.409862
58782.1581019 1 20.5549 0.320314
58779.1593519 1 20.6842 0.280122
58777.1593519 1 20.6145 0.360491
58775.1596991 1 20.756 0.228323
58765.1638773 1 20.1795 0.27248
58764.1594329 1 20.2019 0.298415
58763.3793866 1 20.1658 0.161812
58760.3736111 1 20.0305 0.186536
58749.3213773 1 19.2326 0.100285
58746.3814583 1 18.9467 0.0884328
58743.4001042 1 18.7206 0.146695
58739.4994907 1 18.3365 0.0848985
58736.4577199 1 18.0315 0.0568095
58733.4526389 1 17.8657 0.0430396
58730.4740394 1 17.7317 0.0413408
58727.3990162 1 17.6465 0.0392782
58724.4355903 1 17.6592 0.0549763
58718.4115046 1 18.1301 0.0563268
