ZTF19aapocyd 0.060000 Ia
58644.2251389 1 20.7166 0.405422
58641.2427894 1 20.8009 0.254648
58638.3400231 1 20.6048 0.253313
58635.2220486 1 20.1827 0.179386
58632.3514931 1 20.3331 0.200374
58616.4473032 1 19.1193 0.0766607
58608.3236111 1 18.3344 0.0606459
58596.4685532 1 17.8342 0.0628838
58586.4464468 1 18.5674 0.0672291
58583.3833681 1 19.4647 0.148599
