ZTF20aarucek 0.070000 Ia
58965.4477431 2 20.2528 0.188505
58964.4438657 2 20.2305 0.154015
58962.4725579 2 20.1113 0.146698
58961.4489931 2 20.0131 0.240315
58956.4905324 2 20.1114 0.268237
58955.4513773 2 20.0868 0.232434
58954.4908565 2 19.971 0.161526
58944.5120602 2 19.3188 0.141025
58943.4912847 2 19.2785 0.105902
58941.4375926 2 19.1512 0.148019
58940.5123843 2 19.2241 0.143729
58915.5199074 2 18.2801 0.125805
58914.5489468 2 18.4195 0.0662405
58913.4931829 2 18.4639 0.0946526
58912.4916898 2 18.4781 0.0670132
58908.5068634 2 18.9147 0.0962412
58908.5068634 2 18.9147 0.096241
58903.5154167 2 20.419 0.276733
