ZTF19aayveer 0.080000 Ia
58696.3001157 2 20.6398 0.19333
58695.298831 2 20.5377 0.232549
58694.3384606 2 20.5113 0.183363
58693.344456 2 20.4385 0.231062
58691.3573495 2 20.2182 0.170304
58690.3363542 2 20.3406 0.246878
58688.3765625 2 20.1735 0.201041
58685.3591088 2 20.0378 0.177659
58684.2562616 2 19.916 0.224011
58680.3253819 2 19.6671 0.171344
58679.2318403 2 19.6292 0.182118
58678.4630787 2 19.6905 0.122576
58668.3415278 2 19.3879 0.107784
58665.4240856 2 19.2123 0.0995294
58663.4224421 2 18.987 0.0896585
58662.3242708 2 19.0268 0.0867888
58661.3384375 2 18.9711 0.0943078
58660.4657176 2 19.0758 0.109769
58658.385706 2 18.9501 0.0936524
58657.4018981 2 18.9608 0.0961436
58655.3791667 2 18.9953 0.149417
58654.4282407 2 19.0728 0.139598
58648.473125 2 19.5021 0.11082
58645.4704861 2 19.9481 0.123451
