ZTF19adcdgca 0.046800 Ia
58874.3429861 1 20.3818 0.268789
58873.3446296 1 20.3405 0.25281
58872.2429745 1 20.3278 0.254436
58871.2252894 1 19.9596 0.204895
58867.402963 1 19.716 0.192213
58866.4091435 1 19.5455 0.164353
58864.1773148 1 19.2242 0.110999
58861.3482523 1 18.8252 0.176211
58859.5115394 1 18.5534 0.106923
58855.4687384 1 18.5365 0.0909499
58854.4960301 1 18.5991 0.117532
58853.471875 1 18.6311 0.0875236
58852.4671991 1 18.6392 0.0845496
58850.435162 1 18.8774 0.110833
58849.4853241 1 18.9963 0.0931696
58846.493588 1 19.7311 0.166133
