ZTF20aanafwi 0.080000 Ia
58943.4833218 2 20.1733 0.207097
58936.5083912 2 19.6648 0.151056
58914.5224306 2 19.0656 0.111862
58911.5046991 2 18.8241 0.135574
58908.5027546 2 18.703 0.074523
58904.5358449 2 18.6327 0.11946
58900.4845023 2 18.7254 0.120959
58895.51 2 19.0519 0.142912
58892.5400694 2 19.4471 0.153648
