ZTF20aafwbcs 0.070000 Ia
58891.1590162 1 20.0892 0.329656
58887.1783333 1 19.4687 0.386901
58884.1033681 1 18.8837 0.331876
58882.1210995 1 19.1054 0.165271
58880.1123148 1 18.8818 0.0863454
58877.1802546 1 18.7599 0.100998
58874.1607407 1 18.716 0.103452
58871.1635417 1 18.7304 0.100887
58867.1415509 1 18.9794 0.130744
58864.1439699 1 19.4836 0.124503
