ZTF19acaotrk 0.075000 Ia
58791.3395139 2 19.3738 0.136323
58788.2717014 2 19.0445 0.17123
58782.3281944 2 19.0317 0.130663
58782.3281944 2 19.0317 0.130663
58779.2943519 2 18.9783 0.122282
58775.1938194 2 18.6929 0.0705517
58772.3588426 2 18.6774 0.237246
58763.3610532 2 18.2588 0.0775388
58759.3562847 2 18.2615 0.0700163
58751.3158796 2 19.1694 0.169669
