ZTF18acsouxk 0.079000 Ia
58493.4391782 2 19.603 0.154956
58486.4755671 2 19.2585 0.111366
58481.4375347 2 19.3118 0.11831
58480.4520255 2 19.2774 0.151558
58476.4694792 2 19.0062 0.126438
58471.525544 2 18.7706 0.0997825
58468.4986227 2 18.6827 0.0875527
58461.5416319 2 18.7696 0.0825739
58455.516956 2 19.43 0.211848
58455.4630093 2 19.3683 0.142242
