ZTF19acklbjr 0.110000 Ia
58812.2442245 2 19.9363 0.214412
58811.1293403 2 19.761 0.171561
58806.2251852 2 19.6046 0.141703
58803.3084375 2 19.4484 0.144756
58803.2466898 2 19.2595 0.165879
58801.2680671 2 19.2047 0.208104
58800.2588889 2 19.2341 0.150673
58799.2698495 2 19.3338 0.195955
58793.1064236 2 19.5547 0.182657
58792.1868519 2 19.5952 0.158421
58790.1693634 2 19.8225 0.16529
58790.143912 2 19.8314 0.166577
58789.1273958 2 20.0245 0.272716
58788.1270255 2 20.0997 0.188501
58787.126169 2 20.1378 0.235763
