ZTF19abfwfei 0.065627 Ia
58693.24875 1 18.2614 0.107787
58692.2027083 1 18.4089 0.0815044
58690.1988773 1 18.2831 0.100073
58686.1764699 1 18.2633 0.074442
58686.1741782 1 18.2061 0.0883498
58683.1756597 1 18.4392 0.0921658
58680.1779167 1 18.784 0.192921
58679.1803935 1 18.9535 0.11958
58677.1824769 1 19.3349 0.207893
58676.1846528 1 19.6813 0.188027
58674.2002431 1 20.4085 0.333445
