ZTF19aayogzn 0.069650 Ia
58685.1936458 1 20.1353 0.168551
58682.1738773 1 19.9188 0.209479
58679.1771875 1 19.6082 0.18454
58676.2975926 1 19.4206 0.227419
58673.1781134 1 19.1596 0.115667
58670.1947222 1 18.9231 0.0973561
58667.3238542 1 18.732 0.0801823
58663.21875 1 18.5856 0.104947
58657.1973264 1 18.4537 0.071702
58653.2804977 1 18.5379 0.0879191
58644.201412 1 19.8597 0.20334
