ZTF19aafmfxg 0.052000 Ia-91T
58608.2145833 2 19.7432 0.167773
58601.2561921 2 19.5166 0.12614
58594.1568981 2 19.4189 0.0957841
58583.2587153 2 18.9921 0.0832411
58572.2757176 2 18.6124 0.108822
58567.2333681 2 18.3543 0.0539605
58559.2523148 2 18.0724 0.065091
58538.2465972 2 17.2787 0.130308
58514.4364931 2 18.6058 0.0816333
58513.4229745 2 18.9677 0.0759651
