ZTF19aailqli 0.058000 Ia
58601.2798495 2 20.0185 0.197523
58596.2642245 2 20.3512 0.33773
58586.327581 2 19.7981 0.188193
58583.3113657 2 19.7565 0.168242
58580.3363889 2 19.6436 0.153318
58572.3734491 2 19.1142 0.199213
58567.3242824 2 18.8068 0.104312
58559.2821181 2 18.5412 0.0792182
58556.4229167 2 18.5134 0.072917
58547.4699537 2 18.2791 0.0671
58538.4893519 2 17.7881 0.0650561
58534.4262847 2 17.8546 0.0842782
58526.5186343 2 18.4506 0.100918
