ZTF19aaoyech 0.060000 Ia
58639.1767014 2 20.4883 0.186325
58636.2087731 2 20.3325 0.181275
58633.2003009 2 20.0057 0.141413
58628.3092361 2 19.8852 0.175158
58616.1528356 2 19.4634 0.197849
58612.2116088 2 19.3039 0.0898183
58606.206169 2 18.9904 0.108293
58606.2047801 2 19.1458 0.0795175
58602.275706 2 18.9289 0.099805
58597.2478125 2 18.6167 0.0708638
58596.2550926 2 18.6329 0.0795277
58593.2797569 2 18.5381 0.0923958
58589.2575347 2 18.6963 0.141047
58586.233125 2 18.886 0.0756483
58583.2762963 2 19.0774 0.103231
58582.2248264 2 19.4157 0.121573
58580.3479514 2 19.9263 0.160438
58580.2814931 2 20.0731 0.146626
