ZTF19abcekty 0.011638 II
58862.1073843 1 20.4276 0.256048
58836.126412 1 19.9279 0.183341
58814.2310648 1 19.8611 0.304044
58811.1691667 1 19.7961 0.231178
58802.1887616 1 19.7705 0.217521
58791.2733912 1 19.5486 0.168309
58788.1924306 1 19.733 0.195246
58785.3188194 1 19.5108 0.162174
58781.2147917 1 19.5231 0.217586
58766.3760301 1 19.3075 0.184729
58763.3770833 1 19.3182 0.105093
58760.3528472 1 19.2909 0.133115
58750.3591898 1 19.1997 0.133969
58747.3159375 1 19.1233 0.139758
58736.4756134 1 18.9788 0.107542
58733.456713 1 18.903 0.0859859
58726.4049769 1 18.3572 0.0922209
58723.4180556 1 18.0115 0.0673229
58717.4183449 1 17.551 0.0604054
58709.4626273 1 17.2649 0.0521727
58706.4606944 1 17.1862 0.0520641
58703.4993056 1 17.1674 0.041906
58696.438831 1 17.0492 0.0532006
58693.4570718 1 17.0057 0.0468745
58690.4630093 1 16.9363 0.0435815
58683.4802662 1 16.7505 0.0402873
58673.4771875 1 16.3304 0.0401704
58670.4417014 1 16.2357 0.0306964
58667.4422222 1 16.0677 0.0390285
58662.4447454 1 15.8685 0.0347182
