ZTF20aabcnkx 0.097000 Ia-91T
58893.1373958 2 19.9355 0.157477
58890.1446181 2 19.4775 0.22632
58887.1270255 2 19.5902 0.200144
58884.1467477 2 19.2908 0.248134
58882.1475463 2 19.5529 0.188719
58880.1838889 2 19.3271 0.145801
58877.1601505 2 19.1575 0.108939
58867.2314352 2 18.88 0.0846624
58862.1959838 2 18.9529 0.0868403
58861.1927083 2 18.9499 0.156219
58860.1864815 2 18.9452 0.127923
58859.2700694 2 19.2094 0.159612
58859.203912 2 19.0918 0.156606
58856.1688426 2 19.1504 0.120643
