ZTF20aaghpdc 0.086000 Ia
58913.518287 1 20.5602 0.361845
58912.5354745 1 20.8012 0.346466
58911.5458218 1 20.1177 0.323245
58903.5326505 1 20.1904 0.223154
58900.5372569 1 19.822 0.216816
58899.5389815 1 19.8124 0.181461
58899.5357755 1 20.0374 0.205066
58898.5528472 1 19.7451 0.152355
58898.5514468 1 19.9022 0.192783
58895.5315162 1 19.6251 0.164059
58895.5286921 1 19.5289 0.151344
58894.5542014 1 19.4256 0.157655
58894.5505208 1 19.4135 0.163663
58893.487662 1 19.4366 0.134787
58893.4758449 1 19.3113 0.138556
58892.5563426 1 19.1633 0.142412
58892.5553704 1 19.2304 0.134055
58891.4523611 1 18.8774 0.143416
58890.5528472 1 18.9552 0.345641
58890.5234954 1 18.7873 0.18591
58887.4574306 1 18.9246 0.168136
58886.4884144 1 18.591 0.0977212
58886.450787 1 18.6826 0.0995459
58885.4560764 1 18.5675 0.164319
58881.516088 1 18.4736 0.0758622
58881.4845255 1 18.4221 0.0833043
58880.484294 1 18.3452 0.0812401
58880.4749884 1 18.4178 0.0793333
58879.5147106 1 18.4587 0.109962
58879.5115046 1 18.4174 0.116236
58878.5343981 1 18.3532 0.0881981
58877.5545602 1 18.3611 0.090854
58877.5412037 1 18.3928 0.114245
58876.5303009 1 18.428 0.0691676
58876.5303009 1 18.4285 0.069309
58875.4399421 1 18.3846 0.101824
58873.5542245 1 18.5146 0.0684486
58872.4526505 1 18.5372 0.0936654
58871.4477894 1 18.6034 0.096122
58866.5758218 1 19.1007 0.117129
58866.5748611 1 19.0999 0.142307
58864.468044 1 19.3368 0.149864
