ZTF19aailqli 0.058000 Ia
58601.2408565 1 20.6666 0.216197
58596.2421644 1 20.8265 0.260527
58580.3122685 1 20.4671 0.257401
58575.3294907 1 20.4075 0.175103
58567.2795255 1 19.9219 0.186479
58556.3879167 1 19.1345 0.159648
58547.3244907 1 18.2928 0.067257
58538.4176157 1 17.6523 0.130807
58526.4515625 1 18.2417 0.0756529
58522.4873495 1 19.1684 0.0912753
