ZTF19abjpntj 0.055000 II
58812.2075 2 19.8089 0.144554
58811.1652894 2 19.8593 0.150942
58811.1498843 2 19.8942 0.176751
58806.2135069 2 19.6683 0.132163
58803.2834491 2 19.4899 0.139521
58800.2912731 2 19.6697 0.216971
58790.1926852 2 19.4327 0.11465
58789.1333449 2 19.4038 0.136569
58788.132963 2 19.4348 0.174764
58787.1320718 2 19.26 0.191429
58786.1396991 2 19.3758 0.112263
58785.1328125 2 19.4541 0.120834
58783.1331829 2 19.3523 0.117951
58782.1319676 2 19.264 0.0933842
58781.1328704 2 19.3004 0.141929
58779.132963 2 19.1497 0.13439
58778.1331829 2 19.3351 0.0862819
58777.1329861 2 19.2103 0.11
58776.132581 2 19.329 0.154814
58775.1327894 2 19.237 0.127984
58774.1330671 2 19.3284 0.165421
58766.1316667 2 19.0412 0.221201
58765.1319329 2 19.0837 0.160389
58763.3536921 2 19.1577 0.0924965
58760.3000463 2 19.1737 0.0724793
58757.3275694 2 19.195 0.0970663
58750.3163194 2 19.053 0.0976318
58747.4010417 2 18.9835 0.08681
58739.3789699 2 19.0145 0.121385
58736.4330671 2 19.1342 0.0684075
58733.4014815 2 19.1207 0.0758995
58730.4023032 2 19.052 0.0752196
58725.4851157 2 18.9945 0.0787487
58719.3981597 2 19.0295 0.102065
58716.4977894 2 19.0233 0.121355
58712.4210069 2 18.9714 0.121836
58709.415 2 19.0928 0.100336
58706.5054977 2 19.0727 0.0965099
58704.5032986 2 19.1865 0.104277
58703.457662 2 19.1487 0.0742861
58699.5015625 2 19.1264 0.0838701
58699.4828935 2 19.2535 0.0861608
58696.498669 2 19.375 0.0921058
58696.4779745 2 19.2958 0.0785771
58693.4663773 2 19.7063 0.105905
