ZTF19aaokist 0.074590 Ia
58641.2755671 2 19.9347 0.148797
58638.2317593 2 19.9194 0.171805
58635.2916435 2 19.9812 0.14974
58635.2688194 2 19.8594 0.16081
58632.2724653 2 20.1871 0.227078
58628.3115972 2 19.8189 0.175361
58619.3156019 2 19.1061 0.241512
58616.2962731 2 18.9195 0.0838278
58616.2948843 2 19.0397 0.130911
58612.3378819 2 18.9767 0.0909705
58612.3374306 2 19.0345 0.084414
58606.3578935 2 18.8993 0.110196
58606.3393403 2 18.8173 0.0932587
58597.3787616 2 18.4476 0.0802749
58596.3320255 2 18.3744 0.0752403
58589.2977315 2 18.1875 0.140736
58586.3561458 2 18.2967 0.0731825
58586.3353588 2 18.2524 0.059908
58583.3527662 2 18.4219 0.0893211
58583.3523148 2 18.432 0.0723624
58580.3936921 2 18.6545 0.0758702
58580.3927894 2 18.7661 0.089585
58575.414294 2 19.6865 0.112797
