ZTF20aaxccrm 0.090000 Ia
58987.3384144 2 18.7556 0.0970911
58987.3374537 2 18.8342 0.06295
58984.4011227 2 18.6856 0.0642414
58984.4001852 2 18.687 0.0772783
58980.3134144 2 18.6913 0.0984312
58979.3354745 2 18.6761 0.10858
58977.3981829 2 18.7614 0.150339
58973.3754282 2 19.0859 0.113478
58972.3736343 2 19.2569 0.139909
58970.4161806 2 19.5077 0.138576
58970.4152431 2 19.557 0.1548
58968.4138194 2 20.1882 0.196884
58967.38125 2 20.174 0.213142
58967.378912 2 20.6154 0.320592
