ZTF19aapszzy 0.060000 Ia
58647.2439236 2 19.983 0.21153
58644.2656019 2 19.9149 0.18802
58641.2848032 2 19.6922 0.151611
58638.2360301 2 19.7294 0.137646
58632.264838 2 19.4648 0.125889
58618.2218403 2 18.8425 0.13472
58617.2875231 2 18.7083 0.0734075
58612.3421065 2 18.5876 0.072247
58608.2652894 2 18.4468 0.0765633
58606.3189005 2 18.2297 0.081503
58606.2566782 2 18.2315 0.0666199
58602.268287 2 18.0891 0.161234
58596.2794329 2 17.95 0.0636746
58593.3078009 2 18.0806 0.0847922
58589.2385764 2 18.3973 0.148293
58586.3393981 2 18.8995 0.086523
58583.3472338 2 19.7642 0.19412
