ZTF18aakkrjm 0.020910 Ib
58985.1684838 1 19.8041 0.135564
58980.1918866 1 19.3222 0.129472
58973.2477083 1 18.9339 0.126771
58971.2674306 1 18.5059 0.07786
58971.2627083 1 18.4923 0.0753541
58968.2751968 1 18.5253 0.0723868
58968.2699074 1 18.4897 0.0635544
58967.2252315 1 18.4959 0.0638585
58965.2469329 1 18.5777 0.072072
58965.2433102 1 18.5369 0.0697191
58962.2473958 1 18.7579 0.0760281
58954.3003472 1 20.2019 0.216512
