ZTF20aalcyih 0.027230 Ib
58915.1935532 1 19.5957 0.193973
58906.2589583 1 18.8859 0.081017
58906.1413773 1 18.8595 0.098783
58903.2452894 1 18.6138 0.0891958
58898.192662 1 18.2161 0.05179
58895.1557523 1 18.1778 0.0575333
58881.1879051 1 19.4876 0.17362
58879.1959259 1 20.2654 0.278881
58876.1934259 1 20.5059 0.226475
