ZTF18acxyarg 0.042050 Ia
58547.1946759 2 19.8278 0.192358
58540.2151273 2 19.6772 0.119966
58534.3264699 2 19.4319 0.278724
58526.2231944 2 19.3163 0.11642
58522.2232407 2 19.0276 0.0943918
58509.2648495 2 18.278 0.0730727
58493.2765741 2 17.6775 0.0387586
58490.2170949 2 17.5169 0.0434251
58486.471412 2 17.4082 0.0484631
58480.4262963 2 17.6007 0.0508189
58472.4029398 2 18.8636 0.0775221
