ZTF19abgcbey 0.075000 Ia
58723.1753241 1 20.7176 0.316798
58718.2690741 1 20.8278 0.376557
58715.2496759 1 20.3201 0.234292
58712.1615509 1 19.9221 0.18077
58709.1568981 1 19.7732 0.230756
58706.1823032 1 19.4731 0.185262
58700.2681713 1 19.0016 0.091284
58691.309537 1 18.4764 0.0685933
58684.2195602 1 18.712 0.105384
58681.2197685 1 19.0888 0.161003
58678.2808796 1 19.7884 0.194933
