ZTF19acygjgx 0.069000 Ia
58867.2662269 2 20.0298 0.160892
58864.2220255 2 19.9534 0.137461
58862.3075 2 19.7487 0.161324
58862.2127315 2 19.701 0.143095
58861.2078819 2 19.6478 0.211975
58861.1397454 2 19.7109 0.31022
58860.2788773 2 19.5412 0.20997
58859.2503819 2 19.3565 0.200878
58859.2308449 2 19.465 0.200815
58856.1977662 2 19.4858 0.198314
58854.447419 2 19.4352 0.288752
58854.1739352 2 19.4983 0.314532
58851.4271065 2 19.3772 0.131214
58850.4560995 2 19.3857 0.152709
58846.2841319 2 19.0886 0.0858689
58836.4524653 2 18.9418 0.0741527
58833.3553935 2 19.3185 0.175095
58833.2780556 2 19.5297 0.220028
58830.3060185 2 19.4706 0.200444
