ZTF19aailvhf 0.029000 II
58596.3320255 2 19.2685 0.1453
58589.2977315 2 19.0478 0.228073
58586.3353588 2 19.2259 0.13882
58580.3936921 2 19.1146 0.118145
58560.3993287 2 19.0293 0.151931
58557.4182755 2 18.9864 0.136749
58543.4598958 2 18.8449 0.0946266
58543.4598958 2 18.8449 0.094627
58539.3728356 2 18.9261 0.17609
58526.5053704 2 19.1109 0.141142
58522.5448611 2 19.2755 0.107934
