ZTF19acxlddi 0.053000 Ia
58851.445787 2 18.9319 0.0689489
58850.4704167 2 18.9271 0.0741249
58836.4939699 2 18.2565 0.0507269
58834.5184838 2 18.013 0.109963
58833.421412 2 17.9759 0.0606775
58833.3976852 2 18.0094 0.0625175
58830.418588 2 17.9089 0.0636251
58827.4458565 2 18.0103 0.0567408
58827.3106829 2 18.0306 0.077207
