ZTF19aaoikti 0.078680 Ia
58633.1745833 2 20.2391 0.200155
58628.3064815 2 20.1512 0.201027
58612.2151505 2 19.3987 0.0880437
58601.2826852 2 19.0249 0.0711168
58597.3216319 2 18.8238 0.0793053
58594.3401157 2 18.5648 0.168115
58591.3495602 2 18.596 0.115787
58584.3183681 2 18.5858 0.0697903
58580.2871181 2 18.9337 0.0788799
