ZTF19aaobwpx 0.050000 Ia
58641.3127894 2 20.0483 0.159121
58638.2658333 2 19.8015 0.154861
58635.2851736 2 19.8582 0.14201
58632.274456 2 19.607 0.119512
58616.3616898 2 18.7655 0.0877436
58606.3654514 2 18.48 0.0600626
58596.3144329 2 18.0027 0.0609027
58589.3304977 2 17.9792 0.211053
58586.3384722 2 17.8719 0.0651046
58583.3481481 2 18.0898 0.0626558
58580.3890972 2 18.4524 0.0596265
58575.4351736 2 19.7745 0.168387
