ZTF18abdfwur 0.070000 Ia
58349.2398958 2 19.7439 0.14268
58346.1773495 2 19.8854 0.156993
58343.1567708 2 19.9654 0.162311
58340.1776736 2 19.5552 0.195706
58336.2158565 2 19.4592 0.159366
58336.2048495 2 19.5142 0.141427
58333.3268866 2 19.2775 0.127865
58330.3214931 2 19.1867 0.137132
58327.3051042 2 19.2194 0.156777
58324.2452894 2 19.0522 0.121108
58321.2785069 2 18.8248 0.0790377
58321.245706 2 18.8016 0.106827
58315.2491667 2 18.5451 0.100968
58308.2459144 2 18.631 0.0641605
58302.3121991 2 19.1157 0.117659
58300.3599884 2 19.3926 0.186078
