ZTF19abxvles 0.064000 Ia
58778.4575116 2 19.4199 0.185099
58771.4966435 2 19.219 0.270388
58770.4595833 2 19.0083 0.168982
58770.4304977 2 19.2229 0.205563
58767.503669 2 19.0985 0.115325
58764.4807292 2 18.9551 0.0909188
58756.5238542 2 18.7529 0.0868671
58748.4745602 2 18.2831 0.061728
58744.440162 2 18.2713 0.100427
58741.4590509 2 18.2253 0.0846663
58733.505081 2 19.1916 0.0970408
