ZTF20aamdqiz 0.086000 Ia
58914.3531134 2 19.661 0.19467
58912.4201505 2 19.6318 0.151059
58911.2337037 2 19.477 0.170393
58906.2485648 2 19.4153 0.158096
58904.2470023 2 19.3134 0.119456
58901.3792361 2 19.1679 0.101749
58900.4012963 2 19.0817 0.07561
58899.3358796 2 19.0098 0.08715
58898.3400116 2 18.9864 0.081916
58894.4683449 2 18.8398 0.0870572
58891.3202546 2 18.9074 0.136582
58886.310706 2 19.445 0.248868
