ZTF19abnmrqt 0.080000 Ia
58736.2693866 2 19.5075 0.170408
58735.2596875 2 19.6466 0.235663
58734.2610069 2 19.5873 0.17553
58733.259294 2 19.5648 0.200644
58733.2372569 2 19.4247 0.117
58732.2596991 2 19.5336 0.143506
58730.2610417 2 19.5885 0.171398
58730.1635764 2 19.5443 0.130732
58727.2855556 2 19.3338 0.136953
58727.1327431 2 19.3261 0.165045
58726.2607986 2 19.3687 0.142052
58725.2593519 2 19.285 0.119471
58724.2854051 2 19.2448 0.145546
58723.2853472 2 19.2656 0.148957
58722.2608565 2 19.1075 0.122068
58721.2609606 2 19.2404 0.136928
58720.2818171 2 19.0062 0.116075
58719.3249074 2 19.1396 0.13015
58719.2610301 2 19.0408 0.136945
58718.2820718 2 18.9348 0.0938123
58717.2603704 2 19.0314 0.10222
58716.3733681 2 18.8001 0.109409
58716.2815625 2 18.9993 0.133731
58715.2604398 2 18.8169 0.0923197
58714.17625 2 18.8735 0.0828468
58713.2421181 2 18.8147 0.113004
58711.1760995 2 18.9501 0.140759
58710.1763079 2 18.761 0.108089
58709.2019213 2 18.9169 0.140342
58709.198125 2 18.9343 0.0722327
58708.202338 2 18.8978 0.111373
58708.1985185 2 18.987 0.103387
58707.2010069 2 18.9805 0.0902751
58707.1971644 2 18.9846 0.0877216
58706.2040741 2 19.1191 0.1102
58705.2015741 2 19.2003 0.137596
58705.1977199 2 19.1283 0.117739
58704.2837616 2 19.2235 0.13038
58704.279919 2 19.233 0.123388
58703.2891551 2 19.3356 0.144509
58703.2853125 2 19.3486 0.110032
58702.2872917 2 19.4864 0.147602
58701.2879051 2 19.5635 0.14906
58701.2840509 2 19.658 0.136191
58700.2840278 2 19.8642 0.160169
58700.2801852 2 20.0191 0.126228
58699.2875116 2 20.2057 0.219116
