ZTF19ablekwo 0.090000 Ia
58733.4454745 1 20.5234 0.237763
58730.3190278 1 20.0499 0.175937
58727.4038194 1 19.8297 0.132928
58724.4262731 1 19.6845 0.142455
58718.4039699 1 19.2096 0.0984043
58712.4645949 1 18.8569 0.140109
58709.4749421 1 18.7781 0.095901
58706.4476157 1 18.9058 0.0768077
58703.468044 1 18.9802 0.0697927
58700.4721065 1 19.3534 0.0984798
58697.4743634 1 19.9371 0.127692
