ZTF20aambbfn 0.043900 Ia
58903.3311111 1 19.8259 0.144629
58903.2789352 1 20.0718 0.187881
58899.361169 1 19.5893 0.159173
58895.2393287 1 19.2526 0.146333
58894.3035069 1 19.3865 0.100815
58893.2460185 1 19.1546 0.127026
58893.2418866 1 19.2217 0.108759
58892.1761458 1 19.279 0.168216
58891.2370718 1 19.2407 0.163661
58890.3008449 1 19.4221 0.241596
58890.299919 1 19.2371 0.173384
58886.2430208 1 19.5095 0.192829
58886.2421296 1 19.6111 0.285659
