ZTF18abjtgdo 0.073930 Ia
58365.1560417 2 19.5703 0.151178
58365.1412037 2 19.4874 0.119202
58356.2591319 2 19.1292 0.174551
58354.202662 2 19.1859 0.128086
58353.280787 2 18.975 0.105614
58353.1545718 2 19.028 0.124525
58350.1598727 2 18.9228 0.0735672
58350.159375 2 18.9244 0.0956264
58344.1843403 2 18.684 0.0876321
58344.1828125 2 18.6176 0.0913248
58336.2043403 2 18.4132 0.0669179
58336.2038426 2 18.4839 0.0533588
58330.3437963 2 18.7574 0.0993575
