ZTF19acbpxwt 0.070000 Ia
58782.1655787 1 18.7785 0.139866
58781.1667593 1 19.0419 0.273276
58779.1672685 1 18.4898 0.105247
58779.1668171 1 18.6416 0.103596
58778.1674537 1 18.4998 0.12156
58778.1670023 1 18.4486 0.0948413
58777.1672569 1 18.4109 0.0981463
58777.1668056 1 18.4178 0.106799
58776.1668056 1 18.3078 0.0966537
58776.1663542 1 18.2729 0.070772
58775.167581 1 18.2568 0.074991
58775.1671296 1 18.2275 0.0762995
58774.1674769 1 18.1869 0.0956217
58774.1670255 1 18.1756 0.0809823
58773.1675347 1 18.0107 0.0913038
58773.1670833 1 18.0312 0.091335
58772.168912 1 18.1677 0.095967
58772.1684606 1 17.9988 0.0918842
58771.1685648 1 17.9963 0.103172
58771.1681134 1 18.0415 0.0941785
58770.1683333 1 18.1073 0.139511
58770.1678819 1 17.9752 0.118247
58769.1682755 1 17.8955 0.111823
58769.1678241 1 18.0291 0.117022
58768.1683449 1 17.9975 0.0882798
58768.1678935 1 18.0181 0.108902
58767.1677546 1 17.9093 0.156568
58767.1673032 1 18.0098 0.165839
58766.1702546 1 18.0565 0.0900486
58766.1698032 1 17.9589 0.0890402
58765.1716898 1 18.056 0.0711607
58765.1712384 1 17.9665 0.0775305
58764.1709838 1 18.1082 0.0935984
58764.1705324 1 18.1181 0.0859286
58763.1796644 1 18.1745 0.0839518
58763.179213 1 18.1646 0.081937
58762.1783218 1 18.3533 0.0870946
58762.1778704 1 18.3273 0.0937699
58761.1791435 1 18.4303 0.107488
58761.1786921 1 18.4671 0.130223
58760.1801273 1 18.691 0.0864574
58760.1796759 1 18.5893 0.126496
58758.1872338 1 19.1797 0.153077
58758.1867824 1 19.1879 0.154647
58758.1348958 1 19.2942 0.190408
