ZTF19adbricc 0.090000 Ia
58867.3905903 1 19.0496 0.101491
58864.193044 1 18.8238 0.0880306
58862.4283102 1 18.7078 0.169061
58861.1136227 1 18.6287 0.142608
58855.1831713 1 18.3177 0.0948987
58854.4849653 1 18.4709 0.119952
58853.4571296 1 18.3676 0.0776765
58852.4755208 1 18.4558 0.0682331
58850.4245139 1 18.5124 0.12426
58846.2468981 1 18.8191 0.0881037
