ZTF20aaemtgw 0.031570 Ia
58970.4440741 1 20.5494 0.190268
58967.4222222 1 20.7319 0.290071
58965.3990046 1 20.4988 0.190003
58964.3778819 1 20.5069 0.183255
58963.4234259 1 20.2069 0.221304
58963.3787384 1 20.3147 0.173523
58962.3741088 1 20.3761 0.207437
58943.4376505 1 20.0806 0.231396
58939.4425 1 20.0284 0.271764
58914.4823843 1 19.6177 0.180101
58906.5237963 1 19.5728 0.221666
58903.5254861 1 19.4731 0.110921
58893.4798264 1 18.7811 0.10919
58890.5449653 1 18.4527 0.12876
58886.4987269 1 18.0337 0.0758343
58883.4832755 1 17.6894 0.0719802
58879.5195023 1 17.2753 0.0449152
58876.5398727 1 17.0178 0.0421233
58876.5398727 1 17.0182 0.042117
58873.5491551 1 16.8505 0.0370291
58861.5062731 1 17.2618 0.068453
58855.5025926 1 19.379 0.188464
