ZTF20aavrkxw 0.110000 Ia
58985.3001505 1 19.493 0.126755
58985.2007986 1 19.5341 0.10663
58980.2065509 1 19.2032 0.112787
58979.2238657 1 19.1783 0.111892
58976.1993171 1 18.889 0.142449
58974.4537037 1 18.9247 0.139983
58973.2650926 1 18.8892 0.121091
58971.2870833 1 18.939 0.123726
58970.2839005 1 18.9623 0.0999783
58968.281956 1 19.0404 0.100023
58967.2601852 1 19.0715 0.0949163
58965.2672454 1 19.2527 0.115443
58964.3524074 1 19.3674 0.118147
58962.345544 1 19.726 0.160332
