ZTF19acewotx 0.076400 Ia
58802.226794 1 19.5876 0.222417
58796.1894444 1 19.322 0.223651
58794.2083449 1 19.0301 0.124207
58793.1901273 1 19.083 0.111722
58790.2568519 1 18.8467 0.102532
58789.1619792 1 18.8221 0.102284
58788.1615741 1 18.6481 0.109991
58787.1606597 1 18.7211 0.102801
58786.1683333 1 18.6475 0.0852292
58785.1613773 1 18.6086 0.0845637
58783.1616782 1 18.5833 0.0925787
58782.1601389 1 18.4766 0.0913841
58781.1613194 1 18.4885 0.114135
58779.1613889 1 18.6072 0.0940121
58778.1615625 1 18.5527 0.0806127
58777.1613773 1 18.658 0.0877468
58776.1609375 1 18.7129 0.0708158
58775.161713 1 18.797 0.0740706
58774.1616088 1 18.8761 0.124448
58773.1616782 1 18.8325 0.329315
58772.1630556 1 18.8679 0.165067
