ZTF19abeizmo 0.065000 Ia
58887.239919 1 19.3731 0.193066
58879.2122454 1 18.8172 0.137542
58878.2634954 1 18.6634 0.13269
58877.2233333 1 18.6699 0.128368
58876.2154977 1 18.5743 0.078495
58876.2154977 1 18.5461 0.075554
58875.1842708 1 18.5862 0.095021
58874.3698264 1 18.5246 0.0761946
58873.3716551 1 18.5015 0.0871218
58872.2151852 1 18.5021 0.0708214
58871.1948843 1 18.7049 0.113012
58864.4098148 1 19.6658 0.184319
58863.434375 1 19.8358 0.225774
