ZTF19aathllr 0.055000 II
58660.3399306 1 20.671 0.238154
58657.2341319 1 20.4804 0.27696
58647.3372106 1 19.9113 0.20882
58644.3390046 1 19.8446 0.169338
58641.2326505 1 19.6039 0.162788
58638.3535301 1 19.3545 0.121785
58635.4367708 1 19.148 0.0997445
58632.3371065 1 18.9855 0.0959203
58616.46125 1 18.4248 0.0774305
58608.4027199 1 18.4853 0.08049
58605.4833449 1 19.2772 0.1327
