ZTF19abxvjkn 0.054180 Ia
58788.4523032 1 20.8242 0.352656
58779.4812731 1 20.7431 0.298884
58766.4653819 1 20.1156 0.22463
58763.4750694 1 19.9178 0.219899
58759.4733449 1 19.6038 0.143542
58758.5120139 1 19.426 0.116501
58756.4690394 1 19.2384 0.105843
58751.482963 1 18.7419 0.100245
58748.5159838 1 18.4188 0.081638
58745.5265741 1 18.0999 0.0840713
58742.5240278 1 17.9779 0.140234
58739.5244907 1 17.8919 0.0917679
58736.490787 1 17.9674 0.0655349
58733.4888079 1 18.1306 0.0989739
